iobj iorder X Lambda Mask
004 00 1994.690 6204.1281 1
004 00 2011.440 6205.2561 1
004 00 2020.530 6205.8599 1
004 00 2040.920 6207.2201 1
005 00 1241.740 6150.6830 1
005 00 1258.900 6151.9929 1
005 00 1286.420 6154.0682 1
005 00 1292.180 6154.5162 1
005 00 1301.940 6155.2385 1
005 00 1306.340 6155.5810 1
005 00 1326.450 6157.0878 1
005 00 1383.640 6161.3534 1
005 00 1394.830 6162.1700 1
005 00 1425.940 6164.4796 1
005 00 1498.710 6169.8221 1
005 00 1503.700 6170.1740 1
005 00 1532.500 6172.2778 1
005 00 1543.810 6173.0964 1
005 00 1617.790 6178.4315 1
005 00 1637.600 6179.8488 1
005 00 1649.630 6180.7050 1
005 00 1676.600 6182.6217 1
005 00 1740.640 6187.1350 1
005 00 1754.640 6188.1251 1
005 00 1769.140 6189.1449 1
005 00 1808.860 6191.9053 1
005 00 1837.080 6193.8563 1
005 00 1858.770 6195.3210 0
005 00 1873.980 6196.3965 1
005 00 1900.660 6198.2227 1
005 00 1933.250 6200.4325 1
005 00 1943.120 6201.1002 1
005 00 1978.360 6203.4925 1
005 00 1988.130 6204.1281 0
005 00 2004.560 6205.2561 1
005 00 2013.640 6205.8599 1
005 00 2033.940 6207.2201 1
005 00 2042.100 6207.7504 1
006 00 1077.480 6138.6465 1
006 00 1165.330 6145.4411 1
006 00 1234.120 6150.6830 1
006 00 1251.310 6151.9929 1
006 00 1278.720 6154.0682 1
006 00 1284.530 6154.5162 1
006 00 1294.290 6155.2385 1
006 00 1298.680 6155.5810 1
006 00 1318.740 6157.0878 1
006 00 1375.880 6161.3534 1
006 00 1387.050 6162.1700 1
006 00 1418.120 6164.4796 1
006 00 1490.800 6169.8221 1
006 00 1495.780 6170.1740 1
006 00 1524.520 6172.2778 1
006 00 1535.800 6173.0964 1
006 00 1609.690 6178.4315 1
006 00 1629.740 6179.8488 0
006 00 1641.450 6180.7050 1
006 00 1668.390 6182.6217 1
006 00 1732.250 6187.1350 1
006 00 1746.350 6188.1251 1
006 00 1760.750 6189.1449 1
006 00 1800.520 6191.9053 1
006 00 1828.630 6193.8563 1
006 00 1849.730 6195.3210 1
006 00 1865.490 6196.3965 1
006 00 1892.100 6198.2227 1
006 00 1924.630 6200.4325 1
006 00 1934.470 6201.1002 1
006 00 1969.690 6203.4925 1
006 00 1979.010 6204.1281 1
006 00 1995.810 6205.2561 1
006 00 2004.910 6205.8599 1
