iobj iorder itetris Ycen L X Y
0 0 0.0 99.27727911652167 5137.473 775.696082129454 62.64071541821385
0 0 0.0 99.27727911652167 5140.774 824.0398967502845 64.41995551190733
0 0 0.0 99.27727911652167 5141.783 839.1443754318727 64.8565044917761
0 0 0.0 99.27727911652167 5143.267 861.4445000462592 65.56885284140232
0 0 0.0 99.27727911652167 5143.917 870.794357411504 65.9296135559642
0 0 0.0 99.27727911652167 5145.308 891.1653531317534 66.58516003325552
0 0 0.0 99.27727911652167 5146.056 902.7424364917931 66.92761741145459
0 0 0.0 99.27727911652167 5148.212 935.1727942762656 67.83770095714259
0 0 0.0 99.27727911652167 5149.207 950.1342232821751 68.26114335441594
0 0 0.0 99.27727911652167 5150.7 972.6771192660236 68.86755688954766
0 0 0.0 99.27727911652167 5151.612 986.4946264151433 69.30432004248136
0 0 0.0 99.27727911652167 5154.243 1026.5604931174735 70.34258486141702
0 0 0.0 99.27727911652167 5158.604 1093.1667464112238 71.96007413671012
0 0 0.0 99.27727911652167 5161.54 1138.421693588171 72.94175068273967
0 0 0.0 99.27727911652167 5162.285 1149.9809251106408 73.23058575480843
0 0 0.0 99.27727911652167 5163.458 1168.1244150031976 73.5368764370788
0 0 0.0 99.27727911652167 5165.773 1203.5975734563099 74.24977019931882
0 0 0.0 99.27727911652167 5166.655 1218.0578593572077 74.4559379726246
0 0 0.0 99.27727911652167 5168.587 1247.7150825214462 75.01899789738691
0 0 0.0 99.27727911652167 5168.922 1253.406803419458 75.16646397930478
0 0 0.0 99.27727911652167 5173.672 1328.7111237075303 76.3377436174486
0 0 0.0 99.27727911652167 5174.799 1346.1621996103918 76.6061139045366
0 0 0.0 99.27727911652167 5175.325 1354.8030624656535 76.64696419547495
0 0 0.0 99.27727911652167 5175.912 1364.129693737177 76.84348972202797
0 0 0.0 99.27727911652167 5176.961 1380.9580229992084 77.05318649212666
0 0 0.0 99.27727911652167 5177.623 1391.1738524960638 77.10940837260762
0 0 0.0 99.27727911652167 5178.48 1404.8145746201917 77.31776660340483
0 0 0.0 99.27727911652167 5182.527 1470.591399772088 77.90945126886648
0 0 0.0 99.27727911652167 5183.99 1494.3237033801136 78.14769522702491
0 0 0.0 99.27727911652167 5184.453 1502.34053214492 78.16058378447238
0 0 0.0 99.27727911652167 5186.413 1533.9219590231496 78.47482769874976
0 0 0.0 99.27727911652167 5187.337 1549.1936817886387 78.52183254879407
0 0 0.0 99.27727911652167 5187.746 1555.8930614308892 78.60713377538615
0 0 0.0 99.27727911652167 5190.872 1607.4338173066049 78.82762513708319
0 0 0.0 99.27727911652167 5193.826 1657.0109113343642 78.9325629960758
0 0 0.0 99.27727911652167 5194.458 1667.236471668226 78.95857575815582
0 0 0.0 99.27727911652167 5195.814 1689.9871233166764 79.00724660993588
0 0 0.0 99.27727911652167 5198.8 1740.4424006875233 78.96135085898992
0 0 0.0 99.27727911652167 5199.164 1746.7338944124206 78.98100489879712
0 0 0.0 99.27727911652167 5205.152 1849.000544073743 78.63961759742098
0 0 0.0 99.27727911652167 5209.725 1928.4365434184913 78.12508540925747
0 0 0.0 99.27727911652167 5211.23 1954.9300434120732 77.87936655898243
0 0 0.0 99.27727911652167 5213.349 1992.5166231290154 77.46243442746388
1 0 0.0 150.10073923536635 5140.774 818.7920825404273 115.28990821280972
1 0 0.0 150.10073923536635 5141.265 825.971320409418 115.95073121888409
1 0 0.0 150.10073923536635 5141.783 833.9529057969526 115.78660177733776
1 0 0.0 150.10073923536635 5143.267 856.2628892595085 116.48505872142427
1 0 0.0 150.10073923536635 5143.917 865.568881820135 116.77171428060502
1 0 0.0 150.10073923536635 5145.308 886.1785626612525 117.43381930745069
1 0 0.0 150.10073923536635 5146.056 897.556621386799 117.98069620835783
1 0 0.0 150.10073923536635 5148.212 929.806467306402 118.8140432862359
1 0 0.0 150.10073923536635 5149.207 944.7991703517828 119.4411171483295
1 0 0.0 150.10073923536635 5151.612 981.1928032067036 120.10115909707473
1 0 0.0 150.10073923536635 5154.243 1021.2042976373648 121.14436201589108
1 0 0.0 150.10073923536635 5158.604 1087.7527633936472 122.7367314275188
1 0 0.0 150.10073923536635 5161.54 1132.9168750322676 123.787418592575
1 0 0.0 150.10073923536635 5162.285 1144.4605400501184 124.07746085343577
1 0 0.0 150.10073923536635 5163.458 1162.5939020752955 124.39438236004263
1 0 0.0 150.10073923536635 5164.401 1176.6021926109518 125.09269960302329
1 0 0.0 150.10073923536635 5165.773 1198.36468152596 125.33790029149641
1 0 0.0 150.10073923536635 5168.587 1242.3506728811517 126.10915665163691
1 0 0.0 150.10073923536635 5168.922 1247.8673245456525 126.03709203520195
1 0 0.0 150.10073923536635 5173.672 1323.0027029665418 127.15936210152199
1 0 0.0 150.10073923536635 5174.799 1340.543602352033 127.51075264518812
1 0 0.0 150.10073923536635 5175.325 1349.0891868505369 127.5375121868345
1 0 0.0 150.10073923536635 5175.912 1358.3215397945064 127.72042939200455
1 0 0.0 150.10073923536635 5176.961 1375.2397628944204 127.8135067669865
1 0 0.0 150.10073923536635 5177.623 1385.4680726351567 128.04047383258992
1 0 0.0 150.10073923536635 5182.527 1464.6792924047857 128.8370539516184
1 0 0.0 150.10073923536635 5183.99 1488.547068192146 128.98648129756413
1 0 0.0 150.10073923536635 5184.453 1496.5167886773384 129.04623794148506
1 0 0.0 150.10073923536635 5186.413 1528.0128787202225 129.26630796247713
1 0 0.0 150.10073923536635 5187.337 1543.2289074443881 129.4184631156031
1 0 0.0 150.10073923536635 5187.746 1549.95709721374 129.3967640665471
1 0 0.0 150.10073923536635 5190.872 1601.4171595544228 129.59437339697303
1 0 0.0 150.10073923536635 5193.826 1650.9189781330308 129.82596072461024
1 0 0.0 150.10073923536635 5194.458 1661.1572096838515 129.87482143384463
1 0 0.0 150.10073923536635 5195.814 1683.8633705150817 129.90728825461474
1 0 0.0 150.10073923536635 5198.8 1734.3431557048195 129.88748871658606
1 0 0.0 150.10073923536635 5199.164 1740.5482248337896 129.87465683324714
1 0 0.0 150.10073923536635 5205.152 1842.6022074417785 129.58062691850776
1 0 0.0 150.10073923536635 5209.725 1922.010392012098 129.0957375248661
1 0 0.0 150.10073923536635 5211.23 1948.4358081024889 128.81277497708714
1 0 0.0 150.10073923536635 5213.349 1985.9564636592252 128.57374033651988
2 0 0.0 200.79495394626295 5137.473 766.096368235939 164.5757855546974
2 0 0.0 200.79495394626295 5140.774 814.3390487378244 165.95417568153383
2 0 0.0 200.79495394626295 5141.265 821.38055340082 166.6318723427725
2 0 0.0 200.79495394626295 5141.783 829.5125324115479 166.45766805645948
2 0 0.0 200.79495394626295 5143.267 851.8950280546358 167.17970070219036
2 0 0.0 200.79495394626295 5143.917 861.1768587702408 167.42359128903948
2 0 0.0 200.79495394626295 5145.308 881.8742613198027 168.0427789874296
2 0 0.0 200.79495394626295 5146.056 893.1934712850074 168.8145142784555
2 0 0.0 200.79495394626295 5148.212 925.3050764450143 169.50718121411452
2 0 0.0 200.79495394626295 5149.207 940.2479109204876 170.11723454263793
2 0 0.0 200.79495394626295 5150.7 962.8826243094262 170.73658257771385
2 0 0.0 200.79495394626295 5151.612 976.6230184440701 170.74486559397508
2 0 0.0 200.79495394626295 5154.243 1016.5996628594165 171.74184210233457
2 0 0.0 200.79495394626295 5158.604 1083.1120442078727 173.3749895919645
2 0 0.0 200.79495394626295 5161.54 1128.2363399637657 174.4253581536054
2 0 0.0 200.79495394626295 5162.285 1139.7610242980709 174.6676993427244
2 0 0.0 200.79495394626295 5163.458 1157.9207625238869 174.9834225542054
2 0 0.0 200.79495394626295 5164.401 1172.0460904167858 175.73616008602792
2 0 0.0 200.79495394626295 5165.773 1193.5787213801564 175.97192937496993
2 0 0.0 200.79495394626295 5168.922 1243.055831653929 176.6625558745707
2 0 0.0 200.79495394626295 5173.672 1318.1436869169602 177.83405236514864
2 0 0.0 200.79495394626295 5174.799 1335.4576051406343 178.06281934546334
2 0 0.0 200.79495394626295 5175.325 1344.197857309542 178.1475741631414
2 0 0.0 200.79495394626295 5176.961 1370.3165027972498 178.45293862593206
2 0 0.0 200.79495394626295 5177.623 1380.5425004844847 178.62651270522773
2 0 0.0 200.79495394626295 5178.48 1394.0552323960892 178.8362591290769
2 0 0.0 200.79495394626295 5182.527 1459.772437348022 178.83126067026805
2 0 0.0 200.79495394626295 5183.99 1483.488190827437 179.61512842374916
2 0 0.0 200.79495394626295 5184.453 1491.7594957487302 179.6569736052789
2 0 0.0 200.79495394626295 5186.413 1522.9745210793137 179.94093752644594
2 0 0.0 200.79495394626295 5187.337 1538.197511361918 180.08281275719537
2 0 0.0 200.79495394626295 5187.746 1544.8189791401187 180.08089306293104
2 0 0.0 200.79495394626295 5190.872 1596.2922623136087 180.31040497420088
2 0 0.0 200.79495394626295 5193.826 1645.606495157103 180.48881464071002
2 0 0.0 200.79495394626295 5194.458 1655.9020814138594 180.56557780205446
2 0 0.0 200.79495394626295 5195.814 1678.6439229907082 180.57425617617778
2 0 0.0 200.79495394626295 5198.8 1728.9676080422735 180.58724828049847
2 0 0.0 200.79495394626295 5199.164 1735.2581315845166 180.58175302981397
2 0 0.0 200.79495394626295 5203.848 1815.6552214378946 180.37144930887231
2 0 0.0 200.79495394626295 5205.152 1837.3388602831728 180.27709157773626
2 0 0.0 200.79495394626295 5206.496 1861.3650605761675 180.10924316270584
2 0 0.0 200.79495394626295 5209.725 1916.5533952839546 179.87099652986126
2 0 0.0 200.79495394626295 5211.23 1942.8973650346409 179.6690850658469
2 0 0.0 200.79495394626295 5213.349 1980.3867010613544 179.27177125801975
3 0 0.0 251.39913936975884 5137.473 762.4393991438388 215.0990268149227
3 0 0.0 251.39913936975884 5140.774 810.8633064380726 216.64849045658184
3 0 0.0 251.39913936975884 5141.783 825.9961552387952 217.11236616847725
3 0 0.0 251.39913936975884 5143.267 848.3356965544607 217.85733994230415
3 0 0.0 251.39913936975884 5143.917 857.6041424633625 218.05232577611093
3 0 0.0 251.39913936975884 5145.308 878.1446896704236 218.71002707939448
3 0 0.0 251.39913936975884 5146.056 889.5781964159672 219.43549782322097
3 0 0.0 251.39913936975884 5148.212 921.8203045940126 220.12419517205487
3 0 0.0 251.39913936975884 5149.207 936.7872358460622 220.68034546052684
3 0 0.0 251.39913936975884 5150.7 959.191962255037 221.3168121508106
3 0 0.0 251.39913936975884 5151.612 973.0110455139669 221.36492627718906
3 0 0.0 251.39913936975884 5154.243 1012.979458953771 222.41238820602055
3 0 0.0 251.39913936975884 5158.604 1079.4020561813036 223.99197991708695
3 0 0.0 251.39913936975884 5161.54 1124.5263261874893 224.98113991764012
3 0 0.0 251.39913936975884 5162.285 1136.069486485234 225.3343748874996
3 0 0.0 251.39913936975884 5163.458 1154.1456150721983 225.60900582827705
3 0 0.0 251.39913936975884 5164.401 1167.8837618609573 226.41131323044596
3 0 0.0 251.39913936975884 5168.587 1233.6685306986956 227.3582236532887
3 0 0.0 251.39913936975884 5168.922 1239.3109463149322 227.33456288699762
3 0 0.0 251.39913936975884 5173.672 1314.2435290562719 228.46909861094673
3 0 0.0 251.39913936975884 5174.799 1331.5983588668332 228.79494344323734
3 0 0.0 251.39913936975884 5175.325 1340.2691237908107 228.82799287300222
3 0 0.0 251.39913936975884 5175.912 1349.5094828432166 229.00398102807193
3 0 0.0 251.39913936975884 5176.961 1366.37514216841 229.06649363325323
3 0 0.0 251.39913936975884 5177.623 1376.5814717181388 229.21252777223015
3 0 0.0 251.39913936975884 5178.48 1390.1568343271397 229.3385254360914
3 0 0.0 251.39913936975884 5182.527 1455.8052845206714 229.99346044553602
3 0 0.0 251.39913936975884 5183.99 1479.4813853304588 230.26763592261503
3 0 0.0 251.39913936975884 5184.453 1487.415342727445 230.26997820935105
3 0 0.0 251.39913936975884 5186.413 1518.8925104567074 230.55483406463023
3 0 0.0 251.39913936975884 5187.337 1534.1148869305612 230.67890812057215
3 0 0.0 251.39913936975884 5187.746 1540.776902282083 230.7051704901125
3 0 0.0 251.39913936975884 5190.872 1592.0890454060932 230.98348424632323
3 0 0.0 251.39913936975884 5193.826 1641.5226340518002 231.1238768630135
3 0 0.0 251.39913936975884 5194.458 1651.7543009772437 231.1759070178259
3 0 0.0 251.39913936975884 5195.814 1674.414126715975 231.26729145281044
3 0 0.0 251.39913936975884 5198.8 1724.7313295540448 231.26079556043817
3 0 0.0 251.39913936975884 5199.164 1730.9782752675117 231.26891147145915
3 0 0.0 251.39913936975884 5205.152 1832.8658292565035 231.0320395258064
3 0 0.0 251.39913936975884 5209.725 1912.06336832216 230.57641148196166
3 0 0.0 251.39913936975884 5211.23 1938.409716085544 230.40205123771028
3 0 0.0 251.39913936975884 5213.349 1975.8873320658017 229.9705416467288
3 0 0.0 251.39913936975884 5216.597 2033.6456696928774 229.4575750473915
4 0 1.0 364.96924003305435 5137.473 753.7134069668733 328.0062265298658
4 0 1.0 364.96924003305435 5140.774 801.8955985946271 330.10411371579625
4 0 1.0 364.96924003305435 5141.783 817.0304267014754 330.5534957675478
4 0 1.0 364.96924003305435 5143.267 839.336772472945 331.2700327994406
4 0 1.0 364.96924003305435 5143.917 848.6232461039556 331.573262637859
4 0 1.0 364.96924003305435 5145.308 869.2162034509589 332.2096490275859
4 0 1.0 364.96924003305435 5146.056 880.5439112413654 332.518974828455
4 0 1.0 364.96924003305435 5148.212 912.6987511127993 333.51363588214855
4 0 1.0 364.96924003305435 5149.207 927.6140589622878 333.83470906610364
4 0 1.0 364.96924003305435 5150.7 950.0545437605098 334.53343372489826
4 0 1.0 364.96924003305435 5151.612 963.8126312725983 334.85202095069684
4 0 1.0 364.96924003305435 5154.243 1003.6714832311603 335.93032169040924
